,시설명,도로명주소,주소,위도,경도
0,가양4종합사회복지관,서울?강서구?양천로57길?37,서울?강서구?양천로57길?37,37.5659531,126.85209987193414
1,평화종합사회복지관,서울?노원구?노원로?333,서울?노원구?노원로?333,37.6215438,127.0872984
2,골말경로당,서울?강북구?한천로109길?57-12,서울?강북구?한천로109길?57-12,37.6278414,127.0428363
3,무수경로당,서울?도봉구?도봉로173길?40-5,서울?도봉구?도봉로173길?40-5,37.6789188,127.0395983
4,대학경로당,서울?관악구?대학12길?16 1층~2층,서울?관악구?대학12길?16 1층~2층,0.0,0.0
5,홍릉경로당,서울?동대문구?제기로23길?10,서울?동대문구?제기로23길?10,37.5883765,127.0424371
6,솔샘길경로당,서울?강북구?솔샘로?277-1,서울?강북구?솔샘로?277-1,37.6214025,127.0152535
7,장수촌경로당,서울?강북구?덕릉로36길?22-4,서울?강북구?덕릉로36길?22-4,37.6339727,127.0283913
8,삼산경로당,서울?강북구?인수봉로79길?62-4,서울?강북구?인수봉로79길?62-4,37.6450978,127.0099411
9,어울누리느티e나무경로당,서울?은평구?연서로33길?14-19,서울?은평구?연서로33길?14-19,37.6222126,126.9245307
10,인덕마을경로당,"서울 노원구 초안산로2길?94-14,1층2호","서울 노원구 초안산로2길?94-14,1층2호",0.0,0.0
11,가양7종합사회복지관,서울?강서구?허준로?209?가양7단지아파트,서울?강서구?허준로?209?가양7단지아파트,0.0,0.0
12,대한노인회성북구지회,서울?성북구?안암로?79,서울?성북구?안암로?79,37.5848978,127.0315165
13,도암경로당,서울?노원구?덕릉로126나길?14,서울?노원구?덕릉로126나길?14,37.6704811,127.0835546
14,덕인경로당,서울?은평구?응암로21가길?5-1,서울?은평구?응암로21가길?5-1,37.595017,126.9168611
15,수삼경로당,서울?강북구?삼양로98길?22,서울?강북구?삼양로98길?22,37.6387469,127.0187813
16,수유2동경로당,서울?강북구?노해로23길?58,서울?강북구?노해로23길?58,37.6454832,127.0210525
17,윗들경로당,서울?도봉구?도봉로150마길?37,서울?도봉구?도봉로150마길?37,37.6681251,127.0450621
18,구립은행길경로당,서울?중랑구?겸재로?212-7,서울?중랑구?겸재로?212-7,37.5861918,127.0774414
19,상계5동경로당,서울?노원구?한글비석로37길?22,서울?노원구?한글비석로37길?22,37.6610137,127.0685835
20,백운노인정,서울?강북구?삼양로159길?9,서울?강북구?삼양로159길?9,37.6574095,127.0130415
