,시설명,도로명주소,위도,경도
0,대원경로당,서울 광진구 긴고랑로36길 57-27 대원경로당,37.557408,127.0906926
1,구립약수노인종합복지관,서울 중구 다산로6길 11 약수동 복지회관,37.5522003,127.0093707
2,을지경로당,서울 중구 을지로28길 16 을지경로당,37.5662091,126.9991203
3,창일노인정,서울 종로구 종로54길 9-23,37.5720633,127.0148073
4,자양4동제2경로당,서울 광진구 동일로2길 17,37.5355818,127.061943
5,구립회현경로당,서울 중구 퇴계로12길 89,37.55583335,126.98196480285662
6,창신2동경로당,서울 종로구 창신길 98,37.5752604,127.0108426
7,보광동노인회,서울 용산구 장문로19길 1,37.5262781,126.9987196
8,청구경로당,서울 중구 청구로3길 69,37.5577103,127.01488
9,중곡3동경로당,서울 광진구 동일로80길 20,37.5701754,127.08125
10,청파노인복지관,서울 용산구 청파로83길 26 청파노인복지관,37.5521029,126.9681267
11,구의2동경로당,서울 광진구 자양로38길 17-5,37.5464972,127.0911124
12,자양1동경로당,서울 광진구 아차산로40길 46,37.5353928,127.0783323
13,용답동노인복지관,서울 성동구 천호대로78길 42,37.5639942,127.0563899
14,다산동경로당,서울 중구 동호로12길 97,37.5563076,127.0111074
