,자치구,노인인구수,무료급식소개수,시설개수,평균소득,cluster_id
0,종로구,27704,5,8,5500.653548387096,0
1,중구,24660,2,11,5987.035232558139,0
2,용산구,38478,3,7,5550.34810810811,0
3,성동구,47530,5,19,4731.799999999999,0
4,광진구,53737,2,22,5643.548666666668,0
5,동대문구,64255,2,35,3750.811999999999,1
6,중랑구,74790,11,48,3855.08,1
7,성북구,77293,11,28,3950.206274509804,1
8,강북구,66170,11,35,3587.5157142857133,1
9,도봉구,66942,0,29,3728.169285714287,1
10,노원구,91946,3,46,3808.196842105264,1
11,은평구,89422,10,41,4255.108125,1
12,서대문구,55502,8,23,4359.313846153846,1
13,마포구,55533,11,29,5402.36024390244,1
14,양천구,72235,10,35,4539.065555555554,1
15,강서구,96880,14,40,5025.340909090906,1
16,구로구,74491,6,25,3995.732222222223,1
17,금천구,42226,7,18,4208.727999999999,1
18,영등포구,63349,5,22,4277.22418604651,1
19,동작구,67872,9,29,5343.321666666666,1
20,관악구,81848,6,29,5059.693333333333,1
21,서초구,62228,5,12,10494.490000000002,2
22,강남구,81564,11,24,12300.953548387097,2
23,송파구,103361,1,41,7312.8960714285695,2
24,강동구,78191,4,31,6056.718947368422,1
