,행정동,기초생활수급자인원,노년부양비,독거노인수,고령자수
0,회기동,364,13.8,99.0,1552
1,휘경1동,386,16.6,128.0,2164
2,휘경2동,703,22.1,215.0,4106
3,청량리동,1741,43.8,915.0,5443
4,용신동,1680,22.3,761.0,6103
5,제기동,1577,30.6,772.0,5830
6,전농1동,1837,27.8,807.0,5795
7,전농2동,805,29.5,330.0,3807
8,답십리2동,1313,24.0,566.0,5774
9,장안1동,1620,23.4,481.0,6780
10,장안2동,1366,19.0,370.0,5419
11,이문1동,743,29.2,277.0,3218
12,이문2동,1009,20.0,401.0,4110
13,답십리1동,866,29.3,326.0,4154
14,면목2동,1715,27.1,550.0,4777
15,면목4동,1807,29.5,557.0,3914
16,면목5동,813,22.3,194.0,2375
17,면목7동,1137,28.5,377.0,4456
18,상봉1동,1714,23.2,463.0,3991
19,상봉2동,1103,18.7,328.0,3075
20,중화1동,1105,27.7,305.0,3830
21,중화2동,2511,28.3,788.0,5153
22,묵1동,1265,24.7,365.0,6140
23,묵2동,1100,27.9,350.0,3752
24,망우3동,1921,29.9,552.0,3503
25,신내1동,2097,27.2,570.0,7200
26,신내2동,1440,30.7,521.0,4295
27,면목본동,2540,25.0,835.0,6341
28,면목3.8동,1970,28.9,600.0,5164
29,망우본동,2343,26.7,893.0,6824
30,돈암1동,621,29.1,384.0,2988
31,돈암2동,372,21.6,214.0,3646
32,안암동,482,14.7,197.0,2105
33,보문동,486,20.5,219.0,2578
34,정릉1동,423,24.9,215.0,3208
35,정릉2동,758,28.4,303.0,4608
36,정릉3동,755,27.5,391.0,3385
37,정릉4동,850,28.3,393.0,4988
38,길음1동,592,19.8,371.0,4809
39,길음2동,516,20.0,310.0,3108
40,월곡1동,1018,26.9,481.0,4915
41,월곡2동,748,25.8,370.0,3721
42,장위1동,2013,24.2,591.0,4201
43,장위2동,1076,32.9,429.0,3138
44,장위3동,593,19.2,215.0,2192
45,성북동,416,24.6,181.0,3061
46,삼선동,865,23.2,390.0,4016
47,동선동,458,17.1,207.0,2178
48,종암동,1401,24.0,632.0,6975
49,석관동,1886,29.9,723.0,7473
50,번1동,1223,27.7,415.0,3801
51,번2동,1886,39.8,644.0,4122
52,번3동,2857,46.2,945.0,4784
53,수유1동,1536,31.5,525.0,4572
54,수유2동,1372,35.5,473.0,5120
55,수유3동,1718,26.9,537.0,4794
56,삼양동,1735,30.9,611.0,5015
57,미아동,1280,29.2,521.0,4607
58,송중동,1503,29.1,550.0,6192
59,송천동,1887,34.4,744.0,6255
60,삼각산동,1319,21.6,564.0,4703
61,우이동,1220,36.1,399.0,4987
62,인수동,2118,35.4,686.0,7218
63,쌍문1동,1275,31.4,398.0,4719
64,쌍문2동,1060,31.0,378.0,4020
65,쌍문3동,939,29.1,317.0,3542
66,쌍문4동,360,24.9,111.0,3276
67,방학1동,1868,31.0,599.0,6174
68,방학2동,2454,34.4,720.0,4595
69,방학3동,408,29.6,135.0,5386
70,창1동,613,28.0,235.0,4865
71,창2동,1291,26.2,358.0,5494
72,창3동,1153,32.0,343.0,3039
73,창4동,351,23.7,140.0,4501
74,창5동,627,26.2,196.0,4620
75,도봉1동,1603,44.0,641.0,5925
76,도봉2동,1079,38.9,539.0,6786
77,월계1동,892,27.4,294.0,4277
78,월계2동,3136,34.2,1113.0,6042
79,월계3동,2079,31.7,751.0,6371
80,공릉2동,965,18.8,337.0,5922
81,하계1동,2904,23.2,1039.0,4691
82,하계2동,1241,21.7,361.0,3404
83,중계본동,616,14.9,151.0,2617
84,중계1동,787,13.0,215.0,2556
85,중계4동,1832,30.4,726.0,4131
86,상계1동,1908,28.2,595.0,7552
87,상계2동,1038,24.1,317.0,3524
88,상계5동,2059,31.2,551.0,5241
89,상계8동,353,18.8,60.0,3053
90,상계9동,528,25.5,136.0,3675
91,상계10동,437,21.4,86.0,2922
92,상계3.4동,2610,36.1,1001.0,6169
93,상계6.7동,1077,22.5,198.0,5270
94,중계2.3동,4920,33.4,1494.0,7662
95,공릉1동,2447,25.0,832.0,6867
96,녹번동,1749,28.0,640.0,7294
97,불광1동,1849,29.4,721.0,7964
98,갈현1동,1799,28.5,395.0,3549
99,갈현2동,1456,25.1,390.0,5192
100,구산동,1536,27.8,462.0,6372
