,행정동,기초생활수급자인원,독거노인수,고령자수
0,사직동,125,66.0,1787
1,삼청동,45,23.0,596
2,부암동,174,74.0,1808
3,평창동,144,78.0,3474
4,무악동,206,108.0,1476
5,교남동,215,73.0,1648
6,가회동,77,27.0,837
7,종로1.2.3.4가동,786,423.0,1706
8,종로5.6가동,319,156.0,1058
9,이화동,288,140.0,1352
10,창신1동,501,216.0,1176
11,창신2동,491,243.0,1809
12,창신3동,247,84.0,1250
13,숭인1동,296,141.0,1206
14,숭인2동,475,255.0,1709
15,청운효자동,229,95.0,2137
16,혜화동,380,147.0,2675
17,소공동,49,17.0,258
18,회현동,463,221.0,1250
19,명동,93,32.0,733
20,필동,103,61.0,876
21,장충동,157,63.0,855
22,광희동,232,123.0,1090
23,을지로동,148,98.0,454
24,신당5동,511,232.0,1860
25,황학동,536,234.0,2035
26,중림동,622,254.0,2187
27,신당동,440,215.0,1486
28,다산동,507,233.0,2807
29,약수동,944,528.0,3980
30,청구동,769,365.0,2840
31,동화동,217,82.0,1949
32,후암동,907,300.0,2972
33,용산2가동,605,187.0,2014
34,남영동,1375,523.0,1544
35,원효로2동,457,191.0,2328
36,효창동,132,58.0,1576
37,용문동,441,200.0,2167
38,이촌1동,68,28.0,4262
39,이촌2동,174,74.0,1786
40,이태원1동,254,81.0,1292
41,이태원2동,276,104.0,1809
42,서빙고동,326,111.0,2112
43,보광동,1086,349.0,2643
44,청파동,1136,368.0,3206
45,원효로1동,388,150.0,2049
46,한강로동,410,185.0,3131
47,한남동,595,252.0,3587
48,왕십리2동,549,216.0,2648
49,마장동,838,304.0,4030
50,사근동,258,90.0,1516
51,행당1동,423,144.0,2190
52,행당2동,861,373.0,4003
53,응봉동,230,89.0,2536
54,금호1가동,772,329.0,2745
55,금호4가동,442,204.0,2505
56,성수1가1동,515,159.0,2392
57,성수1가2동,268,85.0,1962
58,성수2가1동,818,285.0,2934
59,성수2가3동,250,76.0,1827
60,송정동,736,228.0,1840
61,용답동,918,300.0,2176
62,왕십리도선동,921,398.0,3952
63,금호2.3가동,769,267.0,3980
64,옥수동,532,210.0,4294
65,화양동,730,179.0,2332
66,군자동,921,316.0,3159
67,중곡1동,989,306.0,2619
68,중곡2동,935,320.0,3410
69,중곡3동,1204,388.0,2937
70,중곡4동,1534,567.0,5411
71,능동,383,120.0,1668
72,구의1동,976,300.0,3312
73,구의2동,1132,398.0,4502
74,구의3동,553,180.0,4368
75,광장동,271,94.0,3986
76,자양1동,1294,449.0,3621
77,자양2동,883,291.0,4196
78,자양3동,381,149.0,4467
79,자양4동,1001,434.0,3749
