,자치구,행정동,점수,순위
0,강서구,가양2동,3.055429784932044,1
1,강서구,등촌3동,2.9877020685583595,2
2,도봉구,도봉1동,1.8548096282416937,3
3,동대문구,청량리동,1.778978343764843,4
4,노원구,중계2.3동,1.5814887734310192,5
5,강북구,번3동,1.5002828954357428,6
6,강서구,가양3동,1.455533744412208,7
7,강서구,방화3동,1.4100540606766254,8
8,노원구,상계3.4동,1.3138964613554733,9
9,관악구,삼성동,1.313290407515964,10
10,은평구,응암3동,1.2893731548323752,11
11,강북구,송천동,1.2150064891053343,12
12,강북구,번2동,1.1953981202763249,13
13,도봉구,도봉2동,1.174887024096845,14
14,강북구,인수동,1.1053007398569137,15
15,도봉구,방학2동,1.1032528795997805,16
16,은평구,불광2동,1.0789097141183488,17
17,은평구,역촌동,1.0624207340762635,18
18,중랑구,중화2동,1.049010883359127,19
19,성북구,석관동,0.9924693961294282,20
20,노원구,월계2동,0.978753108529483,21
21,은평구,불광1동,0.9760697254809876,22
22,중랑구,신내2동,0.9040023542313609,23
23,금천구,시흥5동,0.8998500719399083,24
24,중랑구,면목3.8동,0.8888718250916965,25
25,동대문구,제기동,0.8485664278336263,26
26,서대문구,북가좌2동,0.7973309728991045,27
27,노원구,하계1동,0.767092643097292,28
28,강북구,수유3동,0.7647659108713389,29
29,강북구,수유2동,0.7614455301220086,30
30,은평구,녹번동,0.7270034671724914,31
31,중랑구,면목4동,0.7159572537024569,32
32,강서구,방화2동,0.7118428422144216,33
33,양천구,신월7동,0.7015854105675261,34
34,중랑구,망우본동,0.7003228396180419,35
35,구로구,개봉1동,0.6907400392318664,36
36,중랑구,면목본동,0.6810266620870964,37
37,중랑구,망우3동,0.6685396215427997,38
38,노원구,상계5동,0.665351303965008,39
39,강북구,우이동,0.6625991993930105,40
40,관악구,난곡동,0.6578218265056204,41
41,구로구,개봉2동,0.6542947673401103,42
42,강동구,천호1동,0.650397455919576,43
43,은평구,대조동,0.6350891158446323,44
44,도봉구,방학1동,0.6321376446151236,45
45,양천구,신정4동,0.6202147209657367,46
46,금천구,시흥1동,0.6172007465055875,47
47,도봉구,쌍문1동,0.6045972509072104,48
48,강서구,화곡1동,0.6021430477477411,49
49,강동구,천호2동,0.5967110576520918,50
50,구로구,가리봉동,0.5954056000390646,51
51,강동구,길동,0.5873149703844776,52
52,노원구,월계3동,0.5853995765325775,53
53,은평구,갈현1동,0.5679160492248423,54
54,노원구,상계1동,0.5659322335067486,55
55,동작구,대방동,0.5571683777256338,56
56,강북구,수유1동,0.5549982831521804,57
57,노원구,공릉1동,0.554621773203063,58
58,양천구,신월1동,0.5476224741986685,59
59,강북구,미아동,0.5377563392872654,60
60,동작구,상도1동,0.534955458411844,61
61,구로구,오류2동,0.5305434188958373,62
62,중랑구,면목2동,0.5271050210245277,63
63,성북구,정릉3동,0.5058263375528946,64
64,동작구,노량진2동,0.49806125538013857,65
65,강북구,삼양동,0.46908080489188564,66
66,강북구,송중동,0.4636164502411191,67
67,도봉구,쌍문2동,0.4544976793555033,68
68,영등포구,영등포본동,0.41324950788574594,69
69,구로구,구로4동,0.40280710675114284,70
70,마포구,성산2동,0.39807767258829435,71
71,강북구,번1동,0.38977383401272553,72
72,도봉구,창3동,0.38610013255493353,73
73,동작구,노량진1동,0.3828687488628987,74
74,은평구,구산동,0.37573768704716926,75
75,동대문구,전농1동,0.37019343123061627,76
76,관악구,보라매동,0.36571402907437944,77
77,강동구,천호3동,0.3617683088174519,78
78,중랑구,신내1동,0.3572350058096747,79
