강서구,화곡1동,가족사랑노인요양원,강서구 곰달래로 97 BS타운 2층,
강동구,천호2동,강동구쉼터경로당,서울 강동구 올림픽로89길 27-23 쉼터경로당,
구로구,가리봉동,가리봉경로당,서울 구로구 우마1다길 25 가리봉1동 복지관,
강동구,길동,구립길1동 제2경로당,서울 강동구 천중로40길 66,
노원구,월계3동,광운경로당,서울 노원구 광운로19가길 53,"월계1동에 가까운데, 월계3동은 아파트 경로당뿐이라 제거"
은평구,갈현1동,갈현동경로당,서울 은평구 통일로89길 12-6,
노원구,상계1동,구립수락노인종합복지관,노원구 수락산로 214,
동작구,대방동,동작노인종합복지관,동작구 상도로 11길 7,
강북구,수유1동,강북노인복지관,강북구 삼양로 80나길 56,
노원구,공릉1동,공릉1동 경로당,서울 노원구 동일로179길 22,
양천구,신월1동,구립곰달래경로당,서울 양천구 남부순환로63길 16-4,
강북구,미아동,구립원송경로당,서울 강북구 오패산로 156-3,
동작구,상도1동,청송경로당,서울 동작구 상도로52길 27,
구로구,오류2동,오류2동 경로당,서울 구로구 오류로8라길 3,
중랑구,면목2동,용마경로당,서울 중랑구 면목로40길 23 면목7동구립용마경로당,
성북구,정릉3동,정릉3동 경로당,서울 성북구 보국문로17길 18-6,
동작구,노량진2동,백송경로당,서울 동작구 노량진로6길 50-14,
강북구,삼양동,미송경로당,서울 강북구 인수봉로 42,
강북구,송중동,솔샘길경로당,서울 강북구 솔샘로 277-1,
도봉구,쌍문2동,도봉노인종합복지관,도봉구 도담로 2길 12-13,
