,자치구,행정동,인근복지시설,주소,
33,강남구,수서동,궁마을경로당,서울 강남구 광평로42길 18,
15,서초구,양재1동,우면노인정,서울 서초구 바우뫼로4길 6 우면경로당,
32,강남구,일원1동,대청종합사회복지관,서울 강남구 양재대로55길 10 수서1단지 에스에이치빌,
34,강남구,세곡동,은곡경로당,서울 강남구 헌릉로571길 46-1,
45,송파구,방이1동,왕천경로당,서울 송파구 양재대로71길 20-10,
44,송파구,마천2동,하마천경로당,서울 송파구 성내천로23길 12 마천공원 관리사무소,
49,송파구,송파1동,오봉산경로당,서울 송파구 석촌호수로20길 13 오봉산경로당,
53,송파구,가락본동,가락골경로당,서울 송파구 송이로23길 16-28,
19,강남구,논현1동,한마음경로당,서울 강남구 논현로136길 5-8,
25,강남구,역삼1동,역삼중앙경로당,서울 강남구 도곡로21길 7,
65,송파구,위례동,(필요함 ; 서울 위례엔 없고 성남 위례에 몰려있음) 송파복지센터,서울 송파구 충민로 184 2층,
12,서초구,방배2동,방배2동경로당,서울 서초구 방배천로16길 5 서초구립 방배데이케어센터,
40,송파구,풍납2동,풍납제2경로당,서울 송파구 바람드리9길 18-1,
39,송파구,풍납1동,풍성경로당,서울 송파구 풍성로25길 21-9,
52,송파구,삼전동,삼전제1경로당,서울 송파구 백제고분로32길 6-30,
42,송파구,거여2동,거여2동구립새마을경로당,서울 송파구 오금로62길 13-3,
43,송파구,마천1동,송파보훈경로당,서울 송파구 성내천로 306,
17,서초구,내곡동,내곡동경로당,서울 서초구 홍씨마을길 25,
47,송파구,오륜동,왕천경로당,서울 송파구 양재대로71길 20-10,
35,강남구,압구정동,동호경로당,서울 강남구 압구정로29길 57,
59,송파구,잠실4동,호수경로당,서울 송파구 송파대로48길 28,
0,서초구,서초1동,서초1동노인정,서울 서초구 효령로68길 49-3,
29,강남구,개포1동,밀미리경로당,서울 강남구 개포로31길 31,
60,송파구,잠실6동,잠실6동노인정,서울 송파구 올림픽로35길 104,
21,강남구,삼성1동,봉전경로당,서울 강남구 봉은사로68길 39-3 봉전경로당,
54,송파구,가락1동,가락시장경로당,서울 송파구 양재대로 932,
50,송파구,송파2동,송파제2경로당,서울 송파구 송파대로38길 1,
41,송파구,거여1동,구립영풍노인정,서울 송파구 오금로51길 20,
2,서초구,서초3동,서초3동경로당,서울 서초구 반포대로1길 53-3,
18,강남구,신사동,압구정1동경로당,서울 강남구 언주로157길 8,이름은 압구정인데 지번은 신사동…
62,송파구,잠실2동,신천경로당,서울 송파구 석촌호수로12길 1-17,
26,강남구,역삼2동,테헤란경로당,서울 강남구 언주로97길 27-4,
38,강남구,개포2동,개포경로당,서울 강남구 선릉로12길 12,
66,강남구,개포3동,대치1단지경로당,서울 강남구 개포로109길 21,
20,강남구,논현2동,압구정노인복지관,서울 강남구 도산대로53길 5,
55,송파구,가락2동,샛팽이경로당,서울 송파구 오금로42길 15,
30,강남구,개포4동,포이경로당,서울 강남구 개포로20길 48,
11,서초구,방배1동,방배1동노인정,서울 서초구 서초대로26길 3,
56,송파구,문정1동,문정경로당,서울 송파구 동남로6나길 3-6 문정경로당,
13,서초구,방배3동,(필요함)  소정회경로당,서울 서초구 효령로25길 50,
16,서초구,양재2동,새원마을구립노인정,서울 서초구 새원3길 8,
57,송파구,문정2동,훼밀리제2경로당,서울 송파구 중대로 24 (문정동) 훼밀리제2경로당,
28,강남구,도곡2동,구립도곡경로당,서울 강남구 논현로26길 34,
58,송파구,잠실본동,잠전경로당,서울 송파구 백제고분로15길 7,
63,송파구,잠실3동,삼전제2경로당,서울 송파구 백제고분로27길 40-24,
14,서초구,방배4동,방배4동경로당,서울 서초구 방배중앙로19길 4,
37,강남구,대치2동,대치4경로당 (필요함; 이름은 대치4지만 대치2경로당과 가장 가까워 선정),서울 강남구 도곡로77길 22,
51,송파구,석촌동,돌마리경로당,서울 송파구 가락로7길 4 돌마리경노당,
10,서초구,방배본동,(필요함) 배나무골경로당,서울 동작구 동작대로29바길 3,
36,강남구,청담동,재너머경로당,서울 강남구 삼성로147길 64,
22,강남구,삼성2동,선정경로당,서울 강남구 선릉로105길 5,
48,송파구,오금동,오금경로당,서울 송파구 성내천로10길 4,
6,서초구,반포1동,서초구립반포1동경로당,서울 서초구 주흥9길 14-13,
46,송파구,방이2동,방이경로당,서울 송파구 가락로39길 11 방이경로당,
3,서초구,서초4동,서초4동 경로당,서울 서초구 서운로23길 17,
24,강남구,대치4동,한티경로당,서울 강남구 선릉로76길 11 한티경로당,
9,서초구,반포4동,반포4동경로당,서울 서초구 사평대로26길 9-14,
27,강남구,도곡1동,도곡1동경로당,서울 강남구 남부순환로351길 22-12,
31,강남구,일원본동,일원경로당,서울 강남구 광평로3길 21,
4,서초구,잠원동,잠원경로당,서울 서초구 강남대로107길 24,
8,서초구,반포3동,(필요함) 시니어클럽,서울 서초구 반포대로 310-6,
1,서초구,서초2동,서초2동경로당,서울 서초구 강남대로45길 17-2,
61,송파구,잠실7동,신잠실경로당,서울 송파구 백제고분로18길 20-36,
7,서초구,반포2동,반포2동경로당,서울 서초구 신반포로15길 28,
23,강남구,대치1동,(필요함..) 이화경로당,서울 강남구 개포로 403,
64,송파구,장지동,장지경로당,서울 송파구 새말로10길 3-16,
5,서초구,반포본동,(필요함) 반포복지관경로당,서울 서초구 사평대로55길 90 반포복지관,
,,,,,
