,자치구,행정동,점수,순위,,,
48,중랑구,신내1동,0.567538939,49,구립새우개경로당,서울 중랑구 용마산로139나길 47,
49,성북구,장위2동,0.551199334,50,(필요함) 장위2동경로당,서울 성북구 장위로22길 51,장위1동에 몰려 있음
50,구로구,수궁동,0.537386263,51,궁동경로당,서울 구로구 부일로17길 158-4,
51,서대문구,북가좌2동,0.530604033,52,신가경로당,서울 서대문구 거북골로22길 29-51,
52,관악구,미성동,0.521835913,53,미성경로당,서울 관악구 난곡로58길 11,
53,강동구,암사1동,0.488889391,54,구립강암경로당,서울 강동구 상암로15길 38-15,
54,양천구,신정3동,0.487147488,55,신정3동꽃사슴경로당,서울 양천구 중앙로29길 108-15,
55,금천구,시흥4동,0.471908207,56,시흥4동신흥경로당,서울 금천구 금하로23길 155,
56,은평구,녹번동,0.460276527,57,녹번일심경로당,서울 은평구 은평로21길 36-2,
57,관악구,신원동,0.450568419,58,신일경로당,서울 관악구 문성로32길 18 신일 경로당,
58,강서구,방화2동,0.445115902,59,내촌어르신사랑방,서울 강서구 개화동로13길 12-8 내촌경로당,
59,구로구,고척2동,0.436273779,60,덕의경로당,서울 구로구 고척로51길 39,
60,양천구,신월7동,0.434858471,61,지양어르신사랑방,서울 양천구 지양로17길 15,
61,중랑구,망우본동,0.4335959,62,우림경로당,서울 중랑구 용마산로115나길 8,
62,노원구,중계4동,0.423079292,63,(필요함) 천보경로당,서울 노원구 중계로14길 39-4,
63,동대문구,용신동,0.420576622,64,명성경로당,서울 동대문구 무학로28길 22-2,
64,중랑구,망우3동,0.401812682,65,샛별경로당,서울 중랑구 용마공원로5가길 36,
65,구로구,개봉3동,0.38760052,66,개봉3동경로당,서울 구로구 개봉로11길 7-46,
66,구로구,개봉2동,0.387567828,67,개봉2동경로당,서울 구로구 개봉로17나길 62,
67,관악구,은천동,0.386963339,68,은천경로당,서울 관악구 봉천로27길 45 은천경로당,
