,행정동,기초생활수급자인원,노년부양비,독거노인수,고령자수,고령내국인남성전체,고령내국인여성전체,유년부양비,노령화지수
0,회기동,364.0,13.8,99.0,1552.0,635.0,917.0,6.0,230.5
1,휘경1동,386.0,16.6,128.0,2164.0,945.0,1219.0,8.3,200.1
2,휘경2동,703.0,22.1,215.0,4106.0,1801.0,2305.0,10.3,214.2
3,청량리동,1741.0,43.8,915.0,5443.0,2417.0,3026.0,9.3,473.3
4,용신동,1680.0,22.3,761.0,6103.0,2827.0,3276.0,8.9,250.0
5,제기동,1577.0,30.6,772.0,5830.0,2583.0,3247.0,7.8,391.6
6,전농1동,1837.0,27.8,807.0,5795.0,2590.0,3205.0,11.7,237.6
7,전농2동,805.0,29.5,330.0,3807.0,1651.0,2156.0,14.5,203.3
8,답십리2동,1313.0,24.0,566.0,5774.0,2533.0,3241.0,12.7,189.1
9,장안1동,1620.0,23.4,481.0,6780.0,3162.0,3618.0,17.6,133.2
10,장안2동,1366.0,19.0,370.0,5419.0,2434.0,2985.0,6.6,287.2
11,이문1동,743.0,29.2,277.0,3218.0,1392.0,1826.0,13.6,214.3
12,이문2동,1009.0,20.0,401.0,4110.0,1788.0,2322.0,16.8,118.7
13,답십리1동,866.0,29.3,326.0,4154.0,1852.0,2302.0,12.9,227.5
14,면목2동,1715.0,27.1,550.0,4777.0,2116.0,2661.0,10.0,271.5
15,면목4동,1807.0,29.5,557.0,3914.0,1690.0,2224.0,11.6,253.3
16,면목5동,813.0,22.3,194.0,2375.0,1071.0,1304.0,16.9,132.4
17,면목7동,1137.0,28.5,377.0,4456.0,2035.0,2421.0,10.5,270.9
18,상봉1동,1714.0,23.2,463.0,3991.0,1747.0,2244.0,14.3,161.5
19,상봉2동,1103.0,18.7,328.0,3075.0,1404.0,1671.0,6.6,283.3
20,중화1동,1105.0,27.7,305.0,3830.0,1746.0,2084.0,11.6,238.5
21,중화2동,2511.0,28.3,788.0,5153.0,2399.0,2754.0,7.9,360.2
22,묵1동,1265.0,24.7,365.0,6140.0,2762.0,3378.0,13.6,182.6
23,묵2동,1100.0,27.9,350.0,3752.0,1694.0,2058.0,10.2,273.8
24,망우3동,1921.0,29.9,552.0,3503.0,1609.0,1894.0,9.2,324.5
25,신내1동,2097.0,27.2,570.0,7200.0,3190.0,4010.0,17.2,158.6
26,신내2동,1440.0,30.7,521.0,4295.0,1844.0,2451.0,13.1,233.7
27,면목본동,2540.0,25.0,835.0,6341.0,2788.0,3553.0,8.3,302.3
28,면목3.8동,1970.0,28.9,600.0,5164.0,2324.0,2840.0,8.5,339.5
29,망우본동,2343.0,26.7,893.0,6824.0,3133.0,3691.0,13.5,198.2
30,돈암1동,621.0,29.1,384.0,2988.0,1269.0,1719.0,11.8,246.1
31,돈암2동,372.0,21.6,214.0,3646.0,1565.0,2081.0,18.3,117.7
32,안암동,482.0,14.7,197.0,2105.0,855.0,1250.0,4.5,327.6
33,보문동,486.0,20.5,219.0,2578.0,1093.0,1485.0,12.0,171.5
34,정릉1동,423.0,24.9,215.0,3208.0,1345.0,1863.0,16.1,154.3
35,정릉2동,758.0,28.4,303.0,4608.0,2006.0,2602.0,12.6,225.8
36,정릉3동,755.0,27.5,391.0,3385.0,1393.0,1992.0,6.9,397.5
37,정릉4동,850.0,28.3,393.0,4988.0,2144.0,2844.0,12.9,219.5
38,길음1동,592.0,19.8,371.0,4809.0,2022.0,2787.0,24.2,81.8
39,길음2동,516.0,20.0,310.0,3108.0,1360.0,1748.0,19.7,101.4
40,월곡1동,1018.0,26.9,481.0,4915.0,2175.0,2740.0,16.1,167.1
41,월곡2동,748.0,25.8,370.0,3721.0,1653.0,2068.0,10.8,239.0
42,장위1동,2013.0,24.2,591.0,4201.0,1828.0,2373.0,14.4,168.3
43,장위2동,1076.0,32.9,429.0,3138.0,1365.0,1773.0,9.7,339.7
44,장위3동,593.0,19.2,215.0,2192.0,997.0,1195.0,19.9,96.6
45,성북동,416.0,24.6,181.0,3061.0,1314.0,1747.0,9.8,250.6
46,삼선동,865.0,23.2,390.0,4016.0,1689.0,2327.0,9.5,243.0
47,동선동,458.0,17.1,207.0,2178.0,914.0,1264.0,6.3,270.1
48,종암동,1401.0,24.0,632.0,6975.0,2950.0,4025.0,13.6,176.4
49,석관동,1886.0,29.9,723.0,7473.0,3381.0,4092.0,11.1,270.6
50,번1동,1223.0,27.7,415.0,3801.0,1692.0,2109.0,7.2,382.2
51,번2동,1886.0,39.8,644.0,4122.0,1670.0,2452.0,8.9,446.8
52,번3동,2857.0,46.2,945.0,4784.0,1858.0,2926.0,12.6,366.0
53,수유1동,1536.0,31.5,525.0,4572.0,2019.0,2553.0,9.4,333.8
54,수유2동,1372.0,35.5,473.0,5120.0,2161.0,2959.0,10.3,346.1
55,수유3동,1718.0,26.9,537.0,4794.0,2108.0,2686.0,6.1,442.0
56,삼양동,1735.0,30.9,611.0,5015.0,2242.0,2773.0,11.2,275.5
57,미아동,1280.0,29.2,521.0,4607.0,2034.0,2573.0,7.8,376.2
58,송중동,1503.0,29.1,550.0,6192.0,2739.0,3453.0,11.0,264.4
59,송천동,1887.0,34.4,744.0,6255.0,2758.0,3497.0,8.0,429.8
60,삼각산동,1319.0,21.6,564.0,4703.0,1965.0,2738.0,20.5,105.8
61,우이동,1220.0,36.1,399.0,4987.0,2154.0,2833.0,11.2,321.6
62,인수동,2118.0,35.4,686.0,7218.0,3150.0,4068.0,11.1,317.7
63,쌍문1동,1275.0,31.4,398.0,4719.0,2112.0,2607.0,11.1,283.0
64,쌍문2동,1060.0,31.0,378.0,4020.0,1707.0,2313.0,11.0,282.6
65,쌍문3동,939.0,29.1,317.0,3542.0,1564.0,1978.0,10.0,291.7
66,쌍문4동,360.0,24.9,111.0,3276.0,1456.0,1820.0,14.7,170.1
67,방학1동,1868.0,31.0,599.0,6174.0,2868.0,3306.0,11.4,271.1
68,방학2동,2454.0,34.4,720.0,4595.0,2075.0,2520.0,10.4,331.0
69,방학3동,408.0,29.6,135.0,5386.0,2377.0,3009.0,16.2,183.4
70,창1동,613.0,28.0,235.0,4865.0,2117.0,2748.0,12.9,217.7
71,창2동,1291.0,26.2,358.0,5494.0,2456.0,3038.0,11.9,220.9
72,창3동,1153.0,32.0,343.0,3039.0,1357.0,1682.0,11.4,280.5
73,창4동,351.0,23.7,140.0,4501.0,2001.0,2500.0,13.6,173.5
74,창5동,627.0,26.2,196.0,4620.0,2089.0,2531.0,12.0,218.5
75,도봉1동,1603.0,44.0,641.0,5925.0,2706.0,3219.0,9.0,488.1
76,도봉2동,1079.0,38.9,539.0,6786.0,3057.0,3729.0,12.3,317.0
77,월계1동,892.0,27.4,294.0,4277.0,1918.0,2359.0,10.9,251.3
78,월계2동,3136.0,34.2,1113.0,6042.0,2534.0,3508.0,13.4,255.7
79,월계3동,2079.0,31.7,751.0,6371.0,2706.0,3665.0,14.4,219.9
80,공릉2동,965.0,18.8,337.0,5922.0,2667.0,3255.0,16.2,116.4
81,하계1동,2904.0,23.2,1039.0,4691.0,1792.0,2899.0,10.2,228.0
82,하계2동,1241.0,21.7,361.0,3404.0,1367.0,2037.0,16.2,133.8
83,중계본동,616.0,14.9,151.0,2617.0,1141.0,1476.0,18.8,79.3
84,중계1동,787.0,13.0,215.0,2556.0,1097.0,1459.0,22.2,58.7
85,중계4동,1832.0,30.4,726.0,4131.0,1645.0,2486.0,13.8,221.2
86,상계1동,1908.0,28.2,595.0,7552.0,3441.0,4111.0,12.8,220.2
87,상계2동,1038.0,24.1,317.0,3524.0,1616.0,1908.0,10.2,237.3
88,상계5동,2059.0,31.2,551.0,5241.0,2205.0,3036.0,10.2,305.1
89,상계8동,353.0,18.8,60.0,3053.0,1263.0,1790.0,18.9,99.8
90,상계9동,528.0,25.5,136.0,3675.0,1527.0,2148.0,13.5,189.3
91,상계10동,437.0,21.4,86.0,2922.0,1247.0,1675.0,14.1,151.6
92,상계3.4동,2610.0,36.1,1001.0,6169.0,2718.0,3451.0,11.9,303.4
93,상계6.7동,1077.0,22.5,198.0,5270.0,2181.0,3089.0,14.4,156.5
94,중계2.3동,4920.0,33.4,1494.0,7662.0,2862.0,4800.0,12.7,263.9
95,공릉1동,2447.0,25.0,832.0,6867.0,3063.0,3804.0,10.3,242.3
96,녹번동,1749.0,28.0,640.0,7294.0,3072.0,4222.0,12.7,219.4
97,불광1동,1849.0,29.4,721.0,7964.0,3382.0,4582.0,11.6,252.9
98,갈현1동,1799.0,28.5,395.0,3549.0,1549.0,2000.0,9.1,314.5
99,갈현2동,1456.0,25.1,390.0,5192.0,2231.0,2961.0,10.9,230.2
100,구산동,1536.0,27.8,462.0,6372.0,2935.0,3437.0,11.6,239.2
101,대조동,1595.0,26.0,531.0,5178.0,2211.0,2967.0,8.2,316.2
102,응암1동,1155.0,22.4,347.0,5394.0,2193.0,3201.0,15.5,144.6
103,응암2동,1081.0,21.4,381.0,4138.0,1748.0,2390.0,22.8,93.6
104,신사1동,1099.0,26.7,301.0,5210.0,2261.0,2949.0,11.3,237.1
105,신사2동,1119.0,28.4,294.0,3957.0,1747.0,2210.0,11.3,250.3
106,증산동,680.0,27.0,184.0,3575.0,1623.0,1952.0,13.3,203.2
107,수색동,574.0,25.0,250.0,2373.0,1020.0,1353.0,13.8,181.1
108,진관동,1592.0,22.1,483.0,8631.0,3769.0,4862.0,18.8,117.6
109,불광2동,2234.0,31.3,769.0,6119.0,2666.0,3453.0,7.9,398.3
110,응암3동,1914.0,33.7,655.0,5749.0,2386.0,3363.0,8.4,400.1
111,역촌동,2368.0,26.9,749.0,8727.0,3732.0,4995.0,11.2,239.8
112,천연동,754.0,27.2,378.0,3266.0,1320.0,1946.0,14.3,190.9
113,홍제1동,787.0,27.7,285.0,4807.0,2055.0,2752.0,13.4,206.2
114,홍제3동,752.0,31.7,293.0,3934.0,1659.0,2275.0,12.1,263.0
115,홍제2동,599.0,29.5,260.0,2798.0,1159.0,1639.0,11.5,256.0
116,홍은1동,779.0,29.4,321.0,4703.0,2024.0,2679.0,13.1,225.4
117,홍은2동,1229.0,26.8,309.0,5308.0,2231.0,3077.0,11.0,244.3
