,자치구,행정동,점수,순위
0,강서구,가양2동,2.311671972225338,1
1,노원구,중계2.3동,1.7917927066791226,2
2,강북구,번3동,1.7105868286838462,3
3,도봉구,도봉1동,1.588082688512392,4
4,관악구,삼성동,1.5235943407640673,5
5,동대문구,청량리동,1.5122514040355413,6
6,강북구,송천동,1.4253104223534376,7
7,강북구,번2동,1.4057020535244282,8
8,강북구,인수동,1.315604673105017,9
9,은평구,불광2동,1.2892136473664522,10
10,노원구,월계2동,1.1890570417775863,11
11,강서구,가양3동,1.1888068046829063,12
12,동대문구,제기동,1.0588703610817296,13
13,노원구,상계3.4동,1.0471695216261716,14
14,은평구,응암3동,1.0226462151030735,15
15,강북구,수유3동,0.9750698441194421,16
16,강북구,수유2동,0.9717494633701117,17
17,도봉구,도봉2동,0.9081600843675433,18
18,중랑구,면목본동,0.8913305953351995,19
19,노원구,상계5동,0.8756552372131111,20
20,강북구,우이동,0.8729031326411136,21
21,관악구,난곡동,0.8681257597537235,22
22,도봉구,방학1동,0.8424415778632267,23
23,도봉구,방학2동,0.8365259398704787,24
24,강서구,등촌3동,0.8128516369194385,25
25,강서구,화곡1동,0.8124469809958442,26
26,강동구,길동,0.7976189036325807,27
27,노원구,월계3동,0.7957035097806806,28
28,은평구,역촌동,0.795693794346962,29
29,중랑구,중화2동,0.7822839436298255,30
30,노원구,상계1동,0.7762361667548517,31
31,강북구,수유1동,0.7653022164002835,32
32,노원구,공릉1동,0.7649257064511662,33
33,양천구,신월1동,0.7579264074467716,34
34,강북구,미아동,0.7480602725353686,35
35,구로구,오류2동,0.7408473521439405,36
36,성북구,석관동,0.7257424564001265,37
37,은평구,불광1동,0.7093427857516861,38
38,동작구,노량진2동,0.7083651886282417,39
39,강북구,삼양동,0.6793847381399888,40
40,강북구,송중동,0.6739203834892222,41
41,강서구,방화3동,0.666296247969919,42
42,금천구,시흥5동,0.6331231322106068,43
43,중랑구,면목3.8동,0.6221448853623948,44
44,구로구,구로4동,0.613111039999246,45
45,강북구,번1동,0.6000777672608287,46
46,은평구,구산동,0.5860416202952724,47
47,동대문구,전농1동,0.5804973644787195,48
48,중랑구,신내1동,0.5675389390577779,49
49,성북구,장위2동,0.5511993337213497,50
50,구로구,수궁동,0.5373862627166154,51
51,서대문구,북가좌2동,0.530604033169803,52
52,관악구,미성동,0.5218359129676197,53
53,강동구,암사1동,0.48888939093806083,54
54,양천구,신정3동,0.48714748775035954,55
55,금천구,시흥4동,0.47190820707596215,56
56,은평구,녹번동,0.46027652744318975,57
57,관악구,신원동,0.4505684191300452,58
58,강서구,방화2동,0.44511590248511995,59
59,구로구,고척2동,0.4362737791988804,60
60,양천구,신월7동,0.43485847083822454,61
61,중랑구,망우본동,0.4335958998887402,62
62,노원구,중계4동,0.4230792921356176,63
63,동대문구,용신동,0.420576621988336,64
64,중랑구,망우3동,0.401812681813498,65
65,구로구,개봉3동,0.38760052022884606,66
66,구로구,개봉2동,0.3875678276108087,67
67,관악구,은천동,0.3869633390489244,68
68,강동구,천호1동,0.3836705161902743,69
69,중랑구,면목7동,0.3749683103344569,70
70,은평구,대조동,0.3683621761153308,71
71,서대문구,홍은2동,0.364362673868943,72
72,양천구,신정4동,0.35348778123643515,73
73,금천구,시흥1동,0.350473806776286,74
74,구로구,구로2동,0.3408566924863392,75
75,동작구,상도4동,0.33891575536879415,76
76,도봉구,쌍문1동,0.33787031117790883,77
77,강동구,천호2동,0.3299841179227902,78
78,강동구,성내2동,0.3238219907579814,79
79,서대문구,홍제3동,0.3146335918697263,80
80,도봉구,창2동,0.3139443759273697,81
81,동작구,상도3동,0.3096009942653285,82
82,은평구,갈현2동,0.30207800526150363,83
83,은평구,갈현1동,0.3011891094955407,84
84,은평구,신사1동,0.2986274622355616,85
85,도봉구,쌍문3동,0.2980128691007863,86
86,동작구,사당2동,0.2686648006266213,87
87,중랑구,묵2동,0.2674022058884016,88
88,강동구,강일동,0.2665292615643456,89
89,금천구,시흥3동,0.26618514627283985,90
90,중랑구,면목2동,0.2603780812952261,91
91,동대문구,장안2동,0.252001943663702,92
92,강서구,화곡4동,0.24585272550415865,93
93,성북구,정릉3동,0.23909939782359307,94
94,중랑구,묵1동,0.2252243863427858,95
95,성북구,정릉4동,0.22173422412130847,96
96,금천구,독산2동,0.20275056389090568,97
97,노원구,월계1동,0.20225068754624537,98
98,영등포구,대림3동,0.18881620866434856,99
99,도봉구,쌍문2동,0.18777073962620167,100
100,동대문구,답십리2동,0.18500372743533844,101
101,성북구,정릉2동,0.17556080075627528,102
102,구로구,오류1동,0.13990645086456446,103
103,마포구,성산2동,0.13135073285899274,104
104,서대문구,홍제1동,0.12627156780178084,105
105,관악구,서원동,0.12358417143011675,106
106,도봉구,창3동,0.11937319282563191,107
107,동작구,노량진1동,0.11614180913359709,108
108,도봉구,방학3동,0.11313322075495644,109
109,관악구,행운동,0.11307588659735852,110
110,강서구,방화1동,0.10865325856503118,111
111,강서구,화곡3동,0.10689156518366964,112
